Done ,Name,Yes/No,Current Count,Entity ID,New Count (Fill This),Link ,Link 2
TRUE,Adolf Hitler,YES,0,/m/07_m9_,16,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F07_m9_,
TRUE,Al Gore,YES,0,/m/0d05fv,15,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F0d05fv,
TRUE,Alan Dershowitz,YES,55,/m/097qj4,133,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F097qj4,
TRUE,Alec Baldwin,YES,11,/m/018ygt,9,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F018ygt,
TRUE,Angel Martinez,NO,0,NO_ENTITY_ID,0,,
TRUE,Barack Obama,YES,0,/m/02mjmr,39,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F02mjmr,
TRUE,Benjamin Netanyahu,YES,0,/m/0fm2h,7,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F0fm2h,
TRUE,Bill Clinton,YES,25,/m/0157m,124,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F0157m,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%25P%25Bill_Clinton
TRUE,Bill Gates,YES,0,/m/017nt,16,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F017nt,
TRUE,Bill Richardson,YES,0,/m/020z31,35,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F020z31,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%25P%25Bill_Richardson
FALSE,Cameron Diaz,NO,0,NO_ENTITY_ID,,,
FALSE,Cate Blanchett,NO,0,NO_ENTITY_ID,,,
TRUE,Channing Tatum,YES,0,/m/06lvlf,7,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F06lvlf,
TRUE,Chris Tucker,YES,12,/m/01900g,32,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F01900g,
FALSE,Courtney Love,NO,0,NO_ENTITY_ID,,,
TRUE,David Copperfield,YES,0,/m/02rbmg,27,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%25P%25David_Copperfield,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F01ppv3
TRUE,Deez Nutz,NO,0,,,,
TRUE,Donald Trump,YES,54,/m/0cqt90,135,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F0cqt90,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%25P%25Donald_Trump
TRUE,Ehud Barak,YES,0,/m/016hk4,12,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F016hk4,
TRUE,Elon Musk,YES,6,/m/018ygt,8,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F03nzf1,
TRUE,George H. W. Bush,YES,0,/m/034ls,10,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F034ls,
TRUE,George Mitchell,YES,5,/m/02c643,20,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F02c643,
TRUE,George W. Bush,YES,0,/m/09b6zr,20,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F09b6zr,
TRUE,Ghislaine Maxwell,YES,520,/m/0gw_xk8,876,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F0gw_xk8,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%25P%25Ghislaine_Maxwell
TRUE,Glenn Dubin,YES,5,/m/0dlkym0,17,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F0dlkym0,
TRUE,Hillary Clinton,YES,410,/m/0157m,24,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F0d06m5,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%25P%25Hillary_Clinton
TRUE,Jeffrey Epstein,YES,999,/m/0fz196,1885,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F0fz196,
TRUE,Jessica Suarez,NO,0,,,,
FALSE,Jesus Christ,YES ,0,,,,
FALSE,Joe Biden,YES,0,/m/012gx2,0,,
FALSE,Kathryn Ruemmler,YES,0,/m/0gvs5b7,,,
TRUE,Kevin Spacey,YES,31,/m/048lv,54,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%2Fm%2F048lv,https://journaliststudio.google.com/pinpoint/search?collection=7185d6ee2381569d&spt=2&p=1&entities=%25P%25Kevin_Spacey
